Depth_cm,Height_cm,Width_cm,Volume_cm3,Date,Executor_capacity_cm3,LocationID
40.6,12.7,30.5,15726.41,18/08/2022,4247527,10952
31.8,1.3,29.2,1207.128,18/08/2022,4247527,11552
30,3,27.4,2466,18/08/2022,4247527,11552
32.4,10.8,17.1,5983.632,18/08/2022,4247527,11552
41.9,29.5,33,40789.65,18/08/2022,4247527,9733
35.6,7.6,20.3,5492.368,18/08/2022,4247527,12052
48.3,15.2,33,24227.28,18/08/2022,4247527,12052
36.3,6.9,21.1,5284.917,18/08/2022,4247527,9872
36.8,17.8,20.3,13297.312,22/08/2022,4247527,9872
27.7,5.3,25.1,3684.931,17/08/2022,4247527,9872
30.7,4.8,18,2652.48,18/08/2022,4247527,10488
30.6,2.9,26.7,2369.358,18/08/2022,4247527,10052
25.4,12.7,17.8,5741.924,18/08/2022,4247527,10052
32,3.6,26.9,3098.88,18/08/2022,4247527,10052
34.3,11.4,26.7,10440.234,18/08/2022,4247527,10052
42.7,12.7,36.3,19685.127,23/08/2022,4247527,10052
29.5,3.6,26.9,2856.78,18/08/2022,4247527,11399
55.9,12.7,45.7,32443.801,18/08/2022,4247527,11399
22.3,3.1,14.7,1016.211,20/07/2022,4247527,11399
30.7,8.6,27.4,7234.148,18/08/2022,4247527,9779
35.6,22.9,31.8,25924.632,18/08/2022,4247527,10969
48.3,15.2,33,24227.28,25/07/2022,4247527,10969
49.5,7.6,35.6,13392.72,25/07/2022,4247527,10969
25.4,7.6,17.8,3436.112,25/07/2022,4247527,10969
40.6,12.7,30.5,15726.41,22/08/2022,4247527,10969
25.4,12.7,17.8,5741.924,22/08/2022,4247527,10969
25.4,12.7,17.8,5741.924,22/08/2022,4247527,10969
29.4,3.6,26.9,2847.096,18/08/2022,4247527,11659
37.6,13.5,23.9,12131.64,18/08/2022,4247527,10574
22.2,8.3,14,2579.64,18/08/2022,4247527,10574
34.3,11.4,26.7,10440.234,18/08/2022,4247527,12066
23.4,2,15.7,734.76,18/08/2022,4247527,11952
31,2,28.4,1760.8,18/08/2022,4247527,11553
25.4,12.7,17.8,5741.924,18/08/2022,4247527,11765
33.3,9.9,18,5934.06,18/08/2022,4247527,11361
34.3,11.4,26.7,10440.234,18/08/2022,4247527,11361
41,2.2,25.7,2318.14,18/08/2022,4247527,11883
34.3,11.4,26.7,10440.234,18/08/2022,4247527,11883
31.5,1.5,29,1370.25,18/08/2022,4247527,11359
25.4,7.6,17.8,3436.112,18/08/2022,4247527,12206
29.7,5.1,10.2,1544.994,18/08/2022,4247527,12017
29.2,6.3,16.5,3035.34,18/08/2022,4247527,12017
43.2,7.6,27.9,9160.128,18/08/2022,4247527,11340
39.4,7.6,31.8,9522.192,24/08/2022,4247527,11340
40.7,2.5,25.4,2584.45,30/07/2022,4247527,11340
27.4,9.9,18,4882.68,18/08/2022,4247527,12015
44.5,20.3,35.6,32159.26,18/08/2022,4247527,10884
29.8,3.2,27.3,2603.328,18/08/2022,4247527,10884
34.3,11.4,26.7,10440.234,18/08/2022,4247527,11750
48.3,15.2,33,24227.28,18/08/2022,4247527,11146
28.9,4.1,26.4,3128.136,18/08/2022,4247527,11146
34.3,11.4,26.7,10440.234,18/08/2022,4247527,9847
25.6,7.4,23.1,4376.064,18/08/2022,4247527,9847
31.2,1.8,28.7,1611.792,24/08/2022,4247527,9847
25.4,12.7,17.8,5741.924,18/08/2022,4247527,12217
54,12.4,41.3,27654.48,18/08/2022,4247527,12217
33,20.3,26.7,17886.33,18/08/2022,4247527,12217
53.3,15.2,38.1,30867.096,18/08/2022,4247527,12217
26.4,6.6,23.9,4164.336,18/08/2022,4247527,12217
25.4,12.7,17.8,5741.924,18/08/2022,4247527,12217
48.3,27.9,31.8,42852.726,20/07/2022,4247527,12217
49.5,7.6,35.6,13392.72,24/08/2022,4247527,12217
36.8,17.8,20.3,13297.312,24/08/2022,4247527,12217
25.4,12.7,17.8,5741.924,18/08/2022,4247527,11845
40.6,12.7,30.5,15726.41,18/08/2022,4247527,11370
25.4,7.6,17.8,3436.112,18/08/2022,4247527,11071
46.4,25.7,38.1,45433.488,23/08/2022,4247527,11071
44.4,34,41.9,63252.24,20/08/2022,4247527,11071
36.2,27.9,28.6,28885.428,20/08/2022,4247527,11071
29.5,3.6,26.9,2856.78,18/08/2022,4247527,11317
31.5,1.5,29,1370.25,18/08/2022,4247527,11653
33.3,2.3,20.6,1577.754,18/08/2022,4247527,11873
30,3,27.4,2466,18/08/2022,4247527,11873
39.4,7.6,31.8,9522.192,18/08/2022,4247527,9859
33,20.3,26.7,17886.33,18/08/2022,4247527,9859
33,20.3,26.7,17886.33,23/08/2022,4247527,9859
54,12.4,41.3,27654.48,23/08/2022,4247527,9859
54,12.4,41.3,27654.48,18/08/2022,4247527,10791
32,1,29.5,944,18/08/2022,4247527,10791
28.2,4.8,25.7,3478.752,18/08/2022,4247527,10791
34.3,11.4,26.7,10440.234,18/08/2022,4247527,10791
30.5,2.5,28,2135,18/08/2022,4247527,10791
24.1,1.3,16.5,516.945,18/08/2022,4247527,10791
33,20.3,26.7,17886.33,18/08/2022,4247527,10791
23.5,14,15.9,5231.1,18/08/2022,4247527,10985
40.6,12.7,30.5,15726.41,23/08/2022,4247527,10985
31,2,28.4,1760.8,18/08/2022,4247527,10170
45.7,21.6,22.9,22605.048,18/08/2022,4247527,10170
48.3,15.2,33,24227.28,18/08/2022,4247527,10936
29,4,26.5,3074,22/08/2022,4247527,10936
43.2,7.6,27.9,9160.128,22/08/2022,4247527,10936
24.1,5.1,16.5,2028.015,18/08/2022,4247527,11204
25.9,7.1,23.4,4303.026,18/08/2022,4247527,10452
25.4,12.7,17.8,5741.924,18/08/2022,4247527,11521
27,6,24.5,3969,24/08/2022,4247527,11521
91.4,17.8,91.4,148700.488,18/08/2022,4247527,11471
20.3,5.1,12.7,1314.831,18/08/2022,4247527,11830
27.9,5.1,25.4,3614.166,24/08/2022,4247527,11830
22.9,2.5,15.2,870.2,18/08/2022,4247527,11315
36.8,17.8,20.3,13297.312,18/08/2022,4247527,10475
47.5,38.1,38.4,69494.4,18/08/2022,4247527,10475
27.4,5.6,24.9,3820.656,18/08/2022,4247527,11466
36.8,17.8,20.3,13297.312,18/08/2022,4247527,11172
24.9,8.1,22.4,4517.856,18/08/2022,4247527,11191
36.8,17.8,20.3,13297.312,18/08/2022,4247527,11728
25.4,12.7,17.8,5741.924,18/08/2022,4247527,11728
25.4,12.7,17.8,5741.924,18/08/2022,4247527,11728
30,3,27.4,2466,18/08/2022,4247527,10788
52.3,12.4,32.5,21076.9,20/08/2022,4247527,10788
30.5,10.2,19.1,5942.01,17/08/2022,4247527,10788
25.4,12.7,17.8,5741.924,17/08/2022,4247527,10788
23.6,1.8,16,679.68,18/08/2022,4247527,10941
31.2,1.8,28.7,1611.792,18/08/2022,4247527,10941
34.3,11.4,26.7,10440.234,20/07/2022,4247527,10941
32.8,6.3,17.5,3616.2,20/07/2022,4247527,10941
25.4,7.6,17.8,3436.112,18/08/2022,4247527,10445
36.8,17.8,20.3,13297.312,18/08/2022,4247527,10445
38.4,4.8,23.1,4257.792,18/08/2022,4247527,11400
39.4,7.6,31.8,9522.192,18/08/2022,4247527,11400
40.6,12.7,30.5,15726.41,18/08/2022,4247527,12192
28.7,4.3,26.2,3233.342,18/08/2022,4247527,10960
33,20.3,26.7,17886.33,23/08/2022,4247527,10960
35.6,22.9,31.8,25924.632,22/08/2022,4247527,10960
35.6,22.9,31.8,25924.632,18/08/2022,4247527,10234
32.5,3,19.8,1930.5,18/08/2022,4247527,11658
29.5,3.6,26.9,2856.78,18/08/2022,4247527,11768
25.4,12.7,17.8,5741.924,18/08/2022,4247527,11768
48.3,15.2,33,24227.28,18/08/2022,4247527,11768
54,12.4,41.3,27654.48,18/08/2022,4247527,11768
33,20.3,26.7,17886.33,18/08/2022,4247527,11768
33,20.3,26.7,17886.33,18/08/2022,4247527,11768
39.4,7.6,31.8,9522.192,18/08/2022,4247527,11768
39.4,7.6,31.8,9522.192,18/08/2022,4247527,11165
34.3,11.4,26.7,10440.234,18/08/2022,4247527,11564
50.8,30.5,35.6,55158.64,18/08/2022,4247527,11564
33.3,9.9,18,5934.06,18/08/2022,4247527,10168
35.6,6.6,22.9,5380.584,24/08/2022,4247527,10168
32.2,0.8,29.7,765.072,24/08/2022,4247527,10168
20.3,5.1,12.7,1314.831,18/08/2022,4247527,10320
49.5,7.6,35.6,13392.72,18/08/2022,4247527,12000
25.4,7.6,17.8,3436.112,18/08/2022,4247527,12000
32,11.2,16.8,6021.12,18/08/2022,4247527,10012
33,20.3,26.7,17886.33,23/08/2022,4247527,10012
45,38,38,64980,22/08/2022,4247527,10012
36.8,17.8,20.3,13297.312,17/08/2022,4247527,10012
25.1,0.3,17.5,131.775,18/08/2022,4247527,11727
28.4,4.6,25.9,3383.576,18/08/2022,4247527,11951
25.4,7.6,17.8,3436.112,20/07/2022,4247527,11951
34.3,11.4,26.7,10440.234,18/08/2022,4247527,12388
36.8,17.8,20.3,13297.312,18/08/2022,4247527,11882
29.2,10.2,28.2,8399.088,18/08/2022,4247527,10449
23.9,4.1,13.7,1342.463,18/08/2022,4247527,10449
34.3,11.4,26.7,10440.234,18/08/2022,4247527,10457
40.6,12.7,30.5,15726.41,18/08/2022,4247527,12098
26.6,6.4,24.1,4102.784,18/08/2022,4247527,10744
31.1,1.9,28.6,1689.974,18/08/2022,4247527,10744
25.4,7.6,17.8,3436.112,20/07/2022,4247527,10744
31.1,1.9,28.6,1689.974,20/07/2022,4247527,10744
30.8,2.2,28.3,1917.608,17/08/2022,4247527,10744
36.3,6.9,21.1,5284.917,18/08/2022,4247527,10804
44.5,20.3,35.6,32159.26,18/08/2022,4247527,10804
48.3,15.2,33,24227.28,18/08/2022,4247527,11784
36.8,17.8,20.3,13297.312,18/08/2022,4247527,11559
27.3,5.7,24.8,3859.128,18/08/2022,4247527,11559
25.4,12.7,17.8,5741.924,18/08/2022,4247527,11365
28.7,4.3,26.2,3233.342,18/08/2022,4247527,10847
35.6,7.6,20.3,5492.368,18/08/2022,4247527,10847
28.2,4.8,25.7,3478.752,20/07/2022,4247527,10847
34.3,8.9,19,5800.13,18/08/2022,4247527,10962
31.9,1.1,29.4,1031.646,25/07/2022,4247527,10962
48.3,15.2,33,24227.28,25/07/2022,4247527,10962
51.6,36.8,38.6,73296.768,25/08/2022,4247527,10962
35.6,22.9,31.8,25924.632,25/08/2022,4247527,10962
51.6,36.8,38.6,73296.768,25/08/2022,4247527,10962
49.5,7.6,35.6,13392.72,25/08/2022,4247527,10962
51.6,36.8,38.6,73296.768,25/08/2022,4247527,10962
31.2,1.8,28.7,1611.792,25/08/2022,4247527,10962
50.8,30.5,35.6,55158.64,18/08/2022,4247527,11655
32.5,0.5,30,487.5,18/08/2022,4247527,10575
30.5,10.2,19.1,5942.01,18/08/2022,4247527,12014
36.2,27.9,28.6,28885.428,18/08/2022,4247527,11038
40.6,12.7,30.5,15726.41,18/08/2022,4247527,11038
54.6,25.4,43.2,59911.488,23/08/2022,4247527,11038
32.3,0.8,29.7,767.448,18/08/2022,4247527,10005
36.8,17.8,20.3,13297.312,18/08/2022,4247527,10407
27.9,5.1,25.4,3614.166,18/08/2022,4247527,11070
25.4,7.6,17.8,3436.112,18/08/2022,4247527,11609
53.1,35.1,38.1,71011.161,18/08/2022,4247527,10291
30.2,2.8,27.7,2342.312,18/08/2022,4247527,10291
31.5,1.5,29,1370.25,24/08/2022,4247527,10291
29,4.1,26.4,3138.96,24/08/2022,4247527,10291
36.8,17.8,20.3,13297.312,18/08/2022,4247527,11162
44.5,20.3,35.6,32159.26,17/08/2022,4247527,11162
49.5,7.6,35.6,13392.72,17/08/2022,4247527,11162
25.4,12.7,17.8,5741.924,18/08/2022,4247527,9996
40.6,2.5,25.4,2578.1,18/08/2022,4247527,9996
20.8,4.6,13.2,1262.976,18/08/2022,4247527,9996
41.1,2,25.9,2128.98,18/08/2022,4247527,9996
30.5,10.2,19.1,5942.01,18/08/2022,4247527,9996
25.4,12.7,17.8,5741.924,18/08/2022,4247527,9996
33,20.3,26.7,17886.33,18/08/2022,4247527,9996
25.4,12.7,17.8,5741.924,18/08/2022,4247527,9996
29.7,3.3,27.2,2665.872,18/08/2022,4247527,9996
49.5,7.6,35.6,13392.72,18/08/2022,4247527,9996
31.2,1.8,28.7,1611.792,18/08/2022,4247527,9996
34.3,11.4,26.7,10440.234,18/08/2022,4247527,9996
25.4,12.7,17.8,5741.924,23/08/2022,4247527,9996
25.4,12.7,17.8,5741.924,23/08/2022,4247527,9996
64.8,7.6,33.7,16596.576,23/08/2022,4247527,9996
44.5,20.3,35.6,32159.26,23/08/2022,4247527,9996
23.6,1.8,16,679.68,23/08/2022,4247527,9996
41.2,2,25.9,2134.16,23/08/2022,4247527,9996
31.5,1.5,29,1370.25,23/08/2022,4247527,9996
38.3,4.9,23,4316.41,23/08/2022,4247527,9996
25.4,7.6,17.8,3436.112,23/08/2022,4247527,9996
48.3,27.9,31.8,42852.726,23/08/2022,4247527,9996
48.3,30.5,36.8,54211.92,23/08/2022,4247527,9996
38.1,5.1,22.9,4449.699,20/07/2022,4247527,9996
40.6,12.7,30.5,15726.41,18/08/2022,4247527,12031
25.4,7.6,17.8,3436.112,30/07/2022,4247527,12031
66,17.8,40.6,47696.88,18/08/2022,4247527,11961
25.4,12.7,17.8,5741.924,18/08/2022,4247527,12101
32.6,10.6,17.3,5978.188,18/08/2022,4247527,9772
32.3,0.8,29.7,767.448,18/08/2022,4247527,10618
50.8,30.5,35.6,55158.64,23/08/2022,4247527,10618
25.4,12.7,17.8,5741.924,18/08/2022,4247527,11887
25.4,7.6,17.8,3436.112,18/08/2022,4247527,12188
44.5,20.3,35.6,32159.26,18/08/2022,4247527,10925
58,6.8,24.4,9623.36,18/08/2022,4247527,10925
43.2,7.6,27.9,9160.128,18/08/2022,4247527,11705
40.6,12.7,30.5,15726.41,18/08/2022,4247527,10624
43.2,27.9,30.5,36761.04,18/08/2022,4247527,10624
44.5,20.3,35.6,32159.26,18/08/2022,4247527,10750
34.3,11.4,26.7,10440.234,18/08/2022,4247527,10750
31.8,11.4,16.5,5981.58,18/08/2022,4247527,10750
25.4,7.6,22.9,4420.616,18/08/2022,4247527,12230
29.2,3.8,26.7,2962.632,18/08/2022,4247527,9719
40.6,12.7,30.5,15726.41,18/08/2022,4247527,9719
34.3,7.6,24.1,6282.388,18/08/2022,4247527,10551
39.4,7.6,31.8,9522.192,18/08/2022,4247527,10551
34.3,11.4,26.7,10440.234,18/08/2022,4247527,10300
33,20.3,26.7,17886.33,18/08/2022,4247527,10300
34.3,11.4,26.7,10440.234,18/08/2022,4247527,10300
36.8,17.8,20.3,13297.312,23/08/2022,4247527,10300
39.4,7.6,31.8,9522.192,20/07/2022,4247527,10300
36.8,17.8,20.3,13297.312,20/07/2022,4247527,10300
33,20.3,26.7,17886.33,22/08/2022,4247527,10300
36.8,17.8,20.3,13297.312,22/08/2022,4247527,10300
25.4,12.7,17.8,5741.924,22/08/2022,4247527,10300
27.2,5.8,24.6,3880.896,17/08/2022,4247527,10300
25.4,7.6,17.8,3436.112,18/08/2022,4247527,11517
44.5,20.3,35.6,32159.26,20/07/2022,4247527,11517
26.7,6.3,24.1,4053.861,30/07/2022,4247527,11517
43.2,7.6,27.9,9160.128,30/07/2022,4247527,11517
32.3,10.9,17,5985.19,18/08/2022,4247527,10938
49.5,7.6,35.6,13392.72,22/08/2022,4247527,10938
44.5,20.3,35.6,32159.26,18/08/2022,4247527,11030
43.2,7.6,27.9,9160.128,18/08/2022,4247527,10793
21.3,4.1,13.7,1196.421,18/08/2022,4247527,10793
45.7,21.6,22.9,22605.048,18/08/2022,4247527,11551
